GENENAME,ORG,ENTREZID,REFSEQ,LOG2FC
ABC_transporter,PA,879411,NP_248876.1,-0.038469493
ABC_transporter,PA,883108,NP_248894.1,-0.207717935
ABC_transporter,PA,878380,NP_249014.1,-0.187309066
ABC_transporter,PA,880771,NP_249293.1,0.085172888
ABC_transporter,PA,879023,NP_249295.1,0.038833821
ABC_transporter,PA,879321,NP_250033.1,0.224284051
ABC_transporter,PA,880658,NP_250501.1,0.007856056
ABC_transporter,PA,878515,NP_250748.1,0.048694384
ABC_transporter,PA,877884,NP_250894.1,-0.101873641
ABC_transporter,PA,878805,NP_252578.1,-0.020607108
ABC_transporter,PA,880469,NP_252884.1,-0.291695098
ABC_transporter,PA,881067,NP_253186.1,0.034090573
ABC_transporter,PA,881082,NP_253187.1,-0.229347601
ABC_transporter,PA,881062,NP_253190.1,0.175296926
ABC_transporter,PA,881096,NP_253192.1,-0.014762193
ABC_transporter,PA,878522,NP_253600.1,0.059624801
ABC_transporter,PA,879765,NP_253763.1,-0.060841748
ABC_transporter,PA,880087,NP_253769.1,0.008900125
ABC_transporter,PA,879515,NP_253783.1,-0.024953277
ABC_transporter,PA,878396,NP_248763.1,-0.10293278
ABC_transporter,PA,879471,NP_248826.1,0.298966987
ABC_transporter,PA,882170,NP_248874.1,-0.003602468
ABC_transporter,PA,880297,NP_249017.1,-0.060973334
ABC_transporter,PA,880619,NP_249294.1,0.06901323
ABC_transporter,PA,879352,NP_250077.1,-0.050249108
ABC_transporter,PA,881746,NP_250116.1,-0.085248346
ABC_transporter,PA,878351,NP_250498.1,0.003718949
ABC_transporter,PA,877832,NP_250751.1,-0.038839083
ABC_transporter,PA,877955,NP_250984.1,-0.206215131
ABC_transporter,PA,879423,NP_250998.1,0.275357959
ABC_transporter,PA,883116,NP_251019.1,0.086056163
ABC_transporter,PA,879637,NP_251098.1,0.172422386
ABC_transporter,PA,880277,NP_251502.1,-0.179267111
ABC_transporter,PA,880445,NP_251547.1,0.130542552
ABC_transporter,PA,882592,NP_251602.1,-0.049916869
ABC_transporter,PA,878861,NP_251709.1,0.072257577
ABC_transporter,PA,880539,NP_251877.1,-0.163995647
ABC_transporter,PA,882551,NP_251902.1,-0.029144279
ABC_transporter,PA,882417,NP_251944.1,-0.048960114
ABC_transporter,PA,879947,NP_252065.1,-0.092304993
ABC_transporter,PA,879616,NP_252137.1,0.046428638
ABC_transporter,PA,879967,NP_252204.1,-0.27424162
ABC_transporter,PA,879008,NP_252228.1,-0.056465217
ABC_transporter,PA,880590,NP_252362.1,-0.040999534
ABC_transporter,PA,879859,NP_252527.1,0.006645677
ABC_transporter,PA,878813,NP_252580.1,-0.119039195
ABC_transporter,PA,879032,NP_252726.1,-0.168747373
ABC_transporter,PA,878673,NP_252753.1,-0.155293677
ABC_transporter,PA,880274,NP_252881.1,-0.078732607
ABC_transporter,PA,880073,NP_252912.1,0.207688767
ABC_transporter,PA,880074,NP_252913.1,0.0202435
ABC_transporter,PA,881000,NP_253146.1,0.068865464
ABC_transporter,PA,881018,NP_253151.1,-0.210259195
ABC_transporter,PA,881158,NP_253195.1,0.098168493
ABC_transporter,PA,881053,NP_253284.1,-0.037417633
ABC_transporter,PA,881059,NP_253285.1,0.145568472
ABC_transporter,PA,877937,NP_253548.1,0.112499631
ABC_transporter,PA,877938,NP_253549.1,-0.00462301
ABC_transporter,PA,879735,NP_253596.1,-0.038466487
ABC_transporter,PA,878157,NP_253597.1,-0.291093419
ABC_transporter,PA,881153,NP_253761.1,-0.202791652
ABC_transporter,PA,878341,NP_253781.1,-0.093479097
ABC_transporter,PA,879975,NP_253839.1,-0.104607064
ABC_transporter,PA,880736,NP_253939.1,-0.062233697
ABC_transporter,PA,880284,NP_254063.1,0.006646434
ABC_transporter,PA,877864,NP_254190.1,0.083596236
ABC_transporter,PA,882151,NP_249551.1,-0.011296025
ABC_transporter,PA,882144,NP_249804.1,-0.041608034
ABC_transporter,PA,882231,NP_250567.1,0.440914214
ABC_transporter,PA,882399,NP_251918.1,0.008373162
ABC_transporter,PA,880797,NP_253918.1,0.156942198
ABC_transporter,PA,879286,NP_248827.1,0.095018684
ABC_transporter,PA,879399,NP_248828.1,0.136221723
ABC_transporter,PA,879256,NP_248875.1,0.197725507
ABC_transporter,PA,878513,NP_248895.1,-0.039300507
ABC_transporter,PA,879480,NP_248896.1,0.052360764
ABC_transporter,PA,879407,NP_249015.1,-0.094219886
ABC_transporter,PA,879238,NP_249016.1,-0.10548077
ABC_transporter,PA,878376,NP_249296.1,-0.173374196
ABC_transporter,PA,880768,NP_249297.1,-0.250715637
ABC_transporter,PA,881324,NP_249949.1,-0.147457611
ABC_transporter,PA,881977,NP_250499.1,-0.151350897
ABC_transporter,PA,878361,NP_250500.1,-0.149042068
ABC_transporter,PA,877721,NP_250749.1,-0.101466366
ABC_transporter,PA,877849,NP_250750.1,0.026763792
ABC_transporter,PA,879766,NP_250985.1,-0.118960796
ABC_transporter,PA,880804,NP_250997.1,0.118910855
ABC_transporter,PA,883075,NP_251017.1,0.232079245
ABC_transporter,PA,881932,NP_251041.1,-0.092444902
ABC_transporter,PA,879638,NP_251099.1,0.037849525
ABC_transporter,PA,882387,NP_251368.1,-0.202641234
ABC_transporter,PA,880412,NP_251501.1,-0.114115307
ABC_transporter,PA,882646,NP_251604.1,-0.002871231
ABC_transporter,PA,882550,NP_251901.1,-0.107992352
ABC_transporter,PA,882415,NP_251942.1,-0.391800078
ABC_transporter,PA,882416,NP_251943.1,-0.122139049
ABC_transporter,PA,882481,NP_252006.1,0.078642763
ABC_transporter,PA,879101,NP_252133.1,-0.10693408
ABC_transporter,PA,879113,NP_252138.1,0.074897538
ABC_transporter,PA,879161,NP_252202.1,-0.001624764
ABC_transporter,PA,879769,NP_252361.1,-0.030020981
ABC_transporter,PA,879812,NP_252526.1,-0.030809008
ABC_transporter,PA,878804,NP_252577.1,-0.034665272
ABC_transporter,PA,878812,NP_252579.1,-0.003820885
ABC_transporter,PA,880355,NP_252882.1,-0.355759141
ABC_transporter,PA,880356,NP_252883.1,-0.07980889
ABC_transporter,PA,881008,NP_253145.1,0.044815052
ABC_transporter,PA,881080,NP_253193.1,0.109725601
ABC_transporter,PA,881081,NP_253194.1,-0.029768218
ABC_transporter,PA,881052,NP_253283.1,0.068903931
ABC_transporter,PA,881537,NP_253395.1,-0.040166612
ABC_transporter,PA,880868,NP_253546.2,0.096778642
ABC_transporter,PA,880869,NP_253547.1,0.091985517
ABC_transporter,PA,879764,NP_253762.1,-0.103815615
ABC_transporter,PA,879514,NP_253782.1,0.188518602
ABC_transporter,PA,879970,NP_253841.1,0.002117768
ABC_transporter,PA,880796,NP_253917.1,0.070717974
ABC_transporter,PA,878443,NP_254064.1,-0.006774554
cytochrome,PA,882109,NP_250547.1,-0.046220105
cytochrome,PA,880051,NP_252822.1,-0.127532153
cytochrome,PA,877792,NP_254178.1,-0.002603548
cytochrome,PA,880944,NP_253120.1,0.025740609
cytochrome,PA,878803,NP_249609.1,0.106819428
cytochrome,PA,881945,NP_250291.1,-0.088947286
cytochrome,PA,879571,NP_250956.1,-0.082607976
cytochrome,PA,879889,NP_251172.1,-0.083749028
cytochrome,PA,880955,NP_253261.1,0.359036124
cytochrome,PA,881146,NP_253309.1,-0.242822372
cytochrome,PA,882009,NP_248797.1,-0.120742975
cytochrome,PA,882206,NP_249212.1,-0.076256746
cytochrome,PA,881210,NP_253119.1,0.214947367
cytochrome,PA,879833,NP_251165.1,0.104974271
cytochrome,PA,882496,NP_252021.1,-0.102422275
cytochrome,PA,878251,NP_254015.1,-0.08586034
DNA_polymerase,PA,882393,NP_251922.1,-0.129905413
DNA_polymerase,PA,880686,NP_249360.3,-0.004573471
efflux_transporter,PA,882687,NP_251600.1,-0.178787107
efflux_transporter,PA,878839,NP_250709.1,0.229515684
efflux_transporter,PA,878882,NP_250708.1,0.048421814
efflux_transporter,PA,881377,NP_253065.1,-0.413009141
efflux_transporter,PA,880556,NP_253981.1,0.15392307
efflux_transporter,PA,881203,NP_249929.1,-0.003427041
efflux_transporter,PA,883069,NP_250231.1,-0.01107986
efflux_transporter,PA,881184,NP_249928.1,-0.175375464
efflux_transporter,PA,881258,NP_253709.1,-0.218333179
efflux_transporter,PA,877919,NP_254205.1,0.121130656
efflux_transporter,PA,882149,NP_248846.1,0.124362774
efflux_transporter,PA,882134,NP_248847.1,0.115310161
efflux_transporter,PA,881806,NP_250126.1,-0.164462928
efflux_transporter,PA,882937,NP_251218.1,-0.330168612
efflux_transporter,PA,879790,NP_252213.1,-0.147007807
efflux_transporter,PA,879603,NP_252367.1,0.103089223
efflux_transporter,PA,881374,NP_253064.1,0.032532193
efflux_transporter,PA,882140,NP_248848.1,0.088564656
efflux_transporter,PA,881815,NP_250127.1,-0.175552088
efflux_transporter,PA,882888,NP_251216.1,-0.156606985
efflux_transporter,PA,882889,NP_251217.1,-0.183097682
efflux_transporter,PA,878906,NP_252212.1,-0.132296101
efflux_transporter,PA,879602,NP_252366.1,-0.006230279
electron_transfer,PA,882142,NP_254087.2,-0.021877344
electron_transfer,PA,880159,NP_251643.1,0.018347891
electron_transfer,PA,879985,NP_252179.1,-0.032290488
electron_transfer,PA,879986,NP_252180.1,0.060032921
electron_transfer,PA,879869,NP_252181.1,-0.128151568
electron_transfer,PA,879870,NP_252182.1,-0.099251828
electron_transfer,PA,879980,NP_252184.1,0.089552514
electron_transfer,PA,879979,NP_252183.1,0.085568598
flagellar_motility,PA,880874,NP_249794.1,-0.204454811
flagellar_motility,PA,882517,NP_252040.1,-0.030338066
flagellar_motility,PA,881856,NP_250133.1,-0.072224726
flagellar_motility,PA,879662,NP_253920.1,-0.071983785
flagellar_motility,PA,881896,NP_249786.1,0.213116239
NADH_NADPH,PA,882736,NP_251778.1,-0.001136865
NADH_NADPH,PA,882135,NP_249434.1,0.017543141
NADH_NADPH,PA,879925,NP_252161.1,-0.07755504
NADH_NADPH,PA,879981,NP_249816.1,0.026132398
NADH_NADPH,PA,879533,NP_249888.1,0.064074575
NADH_NADPH,PA,879344,NP_249915.1,-0.033495321
NADH_NADPH,PA,879501,NP_249916.1,-0.000380085
NADH_NADPH,PA,880914,NP_253662.1,0.014372551
NADH_NADPH,PA,882133,NP_249895.1,0.090753439
NADH_NADPH,PA,879615,NP_252136.1,-0.089981394
NADH_NADPH,PA,880282,NP_250514.1,0.05453518
NADH_NADPH,PA,881501,NP_250574.1,-0.104727368
RNA_polymerase,PA,880895,NP_249163.1,0.009697612
RNA_polymerase,PA,877867,NP_250740.1,0.070047704
RNA_polymerase,PA,877960,NP_250783.1,-0.1310908
RNA_polymerase,PA,882789,NP_251586.1,-0.025949132
RNA_polymerase,PA,878896,NP_252588.1,-0.135939539
RNA_polymerase,PA,878636,NP_253583.1,-0.248446076
RNA_polymerase,PA,882473,NP_251998.1,-0.057712866
ABC_transporter,EC,947729,NP_417662,-0.111490897
ABC_transporter,EC,947954,NP_417658,-0.080101454
ABC_transporter,EC,947732,NP_417661,-0.180997353
ABC_transporter,EC,945582,NP_416848,0.079973476
ABC_transporter,EC,947710,NP_417659,0.004128476
cytochrome,EC,947241,NP_415935,0.107564247
cytochrome,EC,946491,NP_416483,0.031598856
cytochrome,EC,945585,NP_415497,-0.052543164
cytochrome,EC,947547,NP_415498,-0.124635083
cytochrome,EC,947098,NP_417102,0.051717536
cytochrome,EC,946709,NP_416702,0.06311348
cytochrome,EC,1450246,YP_588444,0.130993195
cytochrome,EC,945341,NP_415261,-0.002179272
cytochrome,EC,945347,NP_415262,0.042342407
cytochrome,EC,945615,NP_414965,0.072019731
cytochrome,EC,945080,NP_414966,-0.107676367
cytochrome,EC,946897,NP_414964,-0.030997593
cytochrome,EC,944918,NP_414963,0.126189605
DNA_polymerase,EC,944779,NP_414602,-0.043669939
DNA_polymerase,EC,944877,NP_414726,-0.049982858
DNA_polymerase,EC,946441,NP_414751,-0.083578389
DNA_polymerase,EC,948218,NP_418156,-0.000255437
DNA_polymerase,EC,948787,NP_418680,-0.078904851
DNA_polymerase,EC,945661,NP_415617,0.022924144
DNA_polymerase,EC,947573,NP_415173,0.030688962
DNA_polymerase,EC,948890,NP_418789,-0.136057974
DNA_polymerase,EC,947471,NP_416356,0.159480257
DNA_polymerase,EC,945105,NP_415003,0.00396347
DNA_polymerase,EC,944922,NP_414766,-0.006128302
efflux_transporter,EC,945365,NP_415283,-0.03748319
efflux_transporter,EC,947559,NP_416160,0.134328172
efflux_transporter,EC,945112,NP_414996,-0.075466742
efflux_transporter,EC,947166,NP_417170,-0.01279957
efflux_transporter,EC,945108,NP_414995,0.073221344
efflux_transporter,EC,945448,NP_415363,-0.024113009
efflux_transporter,EC,947167,NP_417171,-0.055531135
efflux_transporter,EC,947768,NP_417732,-0.060711158
efflux_transporter,EC,948180,NP_418129,0.002876431
efflux_transporter,EC,948219,NP_418166,-0.158348038
efflux_transporter,EC,948861,NP_418757,-0.02311879
efflux_transporter,EC,947333,NP_416116,0.06201301
efflux_transporter,EC,946139,NP_416117,0.265816965
efflux_transporter,EC,945883,YP_025307,0.133215488
efflux_transporter,EC,946604,NP_416578,-0.06660718
efflux_transporter,EC,946606,NP_416579,-0.052074597
efflux_transporter,EC,946608,NP_416580,0.030753492
efflux_transporter,EC,948317,YP_026264,0.019117539
efflux_transporter,EC,945282,NP_417169,0.074457207
electron_transfer,EC,947316,NP_414583,-0.159569162
electron_transfer,EC,948438,NP_414840,0.003969615
electron_transfer,EC,946813,NP_416712,0.040463552
electron_transfer,EC,944980,NP_414841,-0.04771713
electron_transfer,EC,947161,NP_417159,-0.015565933
electron_transfer,EC,945906,NP_414842,0.065085608
electron_transfer,EC,946482,NP_416212,-0.007495079
electron_transfer,EC,945688,NP_416213,-0.035795907
electron_transfer,EC,948939,NP_414584,0.04689624
electron_transfer,EC,947509,NP_416149,0.057085082
flagellar_motility,EC,946446,NP_416447,0.06700154
flagellar_motility,EC,946448,NP_416448,0.058760803
flagellar_motility,EC,946443,NP_416454,0.009659606
flagellar_motility,EC,946458,NP_416457,0.057990283
flagellar_motility,EC,946462,NP_416458,-0.033186682
flagellar_motility,EC,946463,NP_416459,0.102927747
flagellar_motility,EC,945442,NP_416406,-0.071469827
flagellar_motility,EC,947280,NP_416405,-0.094722549
flagellar_motility,EC,945647,NP_415596,-0.193991805
flagellar_motility,EC,945678,NP_415591,0.055655205
flagellar_motility,EC,946687,NP_415592,0.053733726
flagellar_motility,EC,945639,NP_415595,-0.063342855
flagellar_motility,EC,946464,NP_416460,0.125107693
flagellar_motility,EC,946428,NP_416434,0.021963268
flagellar_motility,EC,949101,NP_416433,-0.173058801
flagellar_motility,EC,945813,NP_415593,-0.244335041
flagellar_motility,EC,945636,NP_415594,-0.098805486
flagellar_motility,EC,945646,NP_415601,0.020066912
flagellar_motility,EC,945648,NP_415600,0.081883087
flagellar_motility,EC,946449,NP_416453,0.056573569
flagellar_motility,EC,946451,NP_416449,-0.056602268
flagellar_motility,EC,946442,NP_416455,0.037751287
flagellar_motility,EC,946423,NP_416456,0.025929196
flagellar_motility,EC,946454,NP_416452,-0.02987629
flagellar_motility,EC,946996,NP_415597,0.040239735
flagellar_motility,EC,946429,NP_416435,0.001983013
flagellar_motility,EC,947456,NP_415599,-0.110422852
flagellar_motility,EC,947609,NP_415712,-0.097398533
flagellar_motility,EC,946391,NP_416394,0.043510929
flagellar_motility,EC,946457,NP_416451,-0.088858528
flagellar_motility,EC,946402,NP_416403,0.042973758
flagellar_motility,EC,947564,NP_416404,0.125802848
flagellar_motility,EC,946094,NP_416392,-0.198836863
flagellar_motility,EC,946776,NP_416824,-0.064226866
flagellar_motility,EC,947534,NP_415598,-0.10630161
flagellar_motility,EC,946390,NP_416393,-0.080369697
flagellar_motility,EC,946433,NP_416436,-0.00055602
NADH_NADPH,EC,947092,NP_417105,-0.072903436
NADH_NADPH,EC,946946,NP_416254,-0.118281845
NADH_NADPH,EC,947263,NP_415524,0.062965065
NADH_NADPH,EC,948731,NP_418632,-0.08307493
NADH_NADPH,EC,945947,NP_415457,-0.184467828
NADH_NADPH,EC,948325,NP_418286,-0.070915404
NADH_NADPH,EC,947788,NP_417748,-0.06021272
NADH_NADPH,EC,948498,YP_026280,-0.011883792
NADH_NADPH,EC,947088,NP_417191,0.01464189
NADH_NADPH,EC,946738,NP_416790,0.107228442
NADH_NADPH,EC,946746,NP_416788,-0.150380724
NADH_NADPH,EC,946753,NP_416787,-0.268466546
NADH_NADPH,EC,946762,NP_416786,-0.118574058
NADH_NADPH,EC,946757,NP_416784,0.011352469
NADH_NADPH,EC,946759,NP_416789,-0.047028796
NADH_NADPH,EC,946764,NP_416791,0.012254647
NADH_NADPH,EC,946761,NP_416785,0.028759825
NADH_NADPH,EC,946756,NP_416783,0.013701712
NADH_NADPH,EC,947580,NP_416782,-0.112357875
NADH_NADPH,EC,945540,NP_416781,0.145074421
NADH_NADPH,EC,947731,NP_416780,0.294995183
NADH_NADPH,EC,945136,NP_416779,0.03000018
NADH_NADPH,EC,947569,NP_415930,-0.093937951
NADH_NADPH,EC,946085,NP_416057,-0.001827085
NADH_NADPH,EC,947512,NP_417500,-0.066046311
RNA_polymerase,EC,948523,NP_414601,-0.041503885
RNA_polymerase,EC,947050,NP_417068,-0.046633149
RNA_polymerase,EC,946839,NP_418713,-0.048480732
RNA_polymerase,EC,947794,NP_417754,-0.184806066
RNA_polymerase,EC,948487,NP_418415,-0.054258267
RNA_polymerase,EC,948488,NP_418414,-0.10432167
RNA_polymerase,EC,948160,NP_418106,-0.150947098
RNA_polymerase,EC,948824,NP_416432,-0.00801691
RNA_polymerase,EC,947970,NP_417918,-0.078268009
RNA_polymerase,EC,947714,NP_417669,-0.065290559
RNA_polymerase,EC,947567,NP_417539,0.018405745
RNA_polymerase,EC,947210,NP_417221,0.077782724
ABC_transporter,BS,936293,NP_388885.1,-0.407302823
ABC_transporter,BS,936175,NP_388712.2,0.482852918
ABC_transporter,BS,936641,NP_390923.1,1.161531196
ABC_transporter,BS,937245,NP_390920.1,1.100052577
ABC_transporter,BS,937596,NP_391843.2,-0.117114121
ABC_transporter,BS,939298,NP_388886.1,-0.457373839
ABC_transporter,BS,938178,NP_390915.1,-0.235390623
ABC_transporter,BS,939210,NP_388713.1,0.267696753
ABC_transporter,BS,939705,NP_388714.1,0.450742327
ABC_transporter,BS,936088,NP_388592.1,0.6414561
ABC_transporter,BS,938767,NP_388593.1,0.440579692
ABC_transporter,BS,937589,NP_391842.2,-0.186173754
ABC_transporter,BS,937743,NP_391895.1,1.048548772
ABC_transporter,BS,936438,NP_390921.1,1.059661544
ABC_transporter,BS,937243,NP_390922.1,1.145709916
cytochrome,BS,939909,NP_389376.1,-0.453948916
cytochrome,BS,937303,NP_391695.1,-0.399232126
cytochrome,BS,937295,NP_391696.2,-0.233642967
cytochrome,BS,937299,NP_391694.1,-0.473772308
cytochrome,BS,937285,NP_391693.1,-0.389540243
cytochrome,BS,937406,NP_391755.1,-0.96182853
cytochrome,BS,937412,NP_391754.1,-1.189206563
cytochrome,BS,937902,NP_390398.1,-0.167293466
cytochrome,BS,936703,NP_391407.1,-0.576539098
cytochrome,BS,936898,NP_389373.2,-0.431886302
cytochrome,BS,936789,NP_389372.1,-0.276396094
cytochrome,BS,935993,NP_389374.1,-0.459278375
cytochrome,BS,936259,NP_389375.1,-0.425437275
cytochrome,BS,937140,NP_389676.1,-0.150832442
cytochrome,BS,937623,NP_390551.1,-0.417548021
cytochrome,BS,937585,NP_390594.1,-0.308715096
cytochrome,BS,936452,NP_389103.1,0.116968115
cytochrome,BS,935928,NP_390897.1,0.973702804
cytochrome,BS,940046,NP_389605.2,-0.363673248
DNA_polymerase,BS,937833,NP_390434.1,-0.023468105
DNA_polymerase,BS,936617,NP_390787.1,-0.46631395
DNA_polymerase,BS,939620,NP_389540.1,-0.245998109
DNA_polymerase,BS,936593,NP_390801.1,-0.44552924
DNA_polymerase,BS,939970,NP_387883.1,-0.578608595
DNA_polymerase,BS,935949,NP_387912.1,0.061081131
DNA_polymerase,BS,936899,NP_387900.2,0.268547746
DNA_polymerase,BS,939437,NP_389916.1,-0.479213954
DNA_polymerase,BS,937426,NP_390737.1,-0.386862021
efflux_transporter,BS,936278,NP_388852.1,1.374731988
efflux_transporter,BS,939287,NP_388853.1,1.274584486
efflux_transporter,BS,937161,NP_391650.1,-0.056923471
efflux_transporter,BS,939689,NP_388667.1,-0.058287173
efflux_transporter,BS,936559,NP_391362.1,0.121216058
efflux_transporter,BS,937646,NP_390536.1,-0.094307795
efflux_transporter,BS,938862,NP_391043.2,0.215695499
electron_transfer,BS,936520,NP_390730.1,-0.107332425
electron_transfer,BS,937962,NP_390731.1,-0.228190262
flagellar_motility,BS,936720,NP_391413.1,0.520732651
flagellar_motility,BS,936718,NP_391412.1,0.559845136
flagellar_motility,BS,939470,NP_389502.1,-0.222380515
flagellar_motility,BS,937103,NP_389512.1,0.073617678
flagellar_motility,BS,936927,NP_391521.1,0.750265728
flagellar_motility,BS,936677,NP_389503.1,-0.226357938
flagellar_motility,BS,938149,NP_389500.1,-0.259367051
flagellar_motility,BS,938646,NP_389501.1,-0.153022886
flagellar_motility,BS,938124,NP_389505.2,-0.22877392
flagellar_motility,BS,936501,NP_389510.1,0.054520843
flagellar_motility,BS,936497,NP_389511.2,0.139712911
flagellar_motility,BS,936728,NP_391414.1,0.591499442
flagellar_motility,BS,936913,NP_391520.2,0.708207404
flagellar_motility,BS,936736,NP_391421.1,0.805031189
flagellar_motility,BS,936738,NP_391420.1,0.631224908
flagellar_motility,BS,937494,NP_389509.2,-0.012436139
flagellar_motility,BS,937577,NP_389504.1,-0.260297503
flagellar_motility,BS,939518,NP_389513.1,0.16708602
flagellar_motility,BS,936421,NP_389514.1,0.158138425
flagellar_motility,BS,8303013,YP_003097728.1,0.092924121
flagellar_motility,BS,936796,NP_389516.1,0.072231121
flagellar_motility,BS,940137,NP_389507.1,-0.462093157
flagellar_motility,BS,940136,NP_389506.2,-0.166890877
flagellar_motility,BS,936742,NP_391416.1,1.227455146
NADH_NADPH,BS,937408,NP_391751.1,-1.153142051
NADH_NADPH,BS,939189,NP_388664.1,0.20903417
NADH_NADPH,BS,937045,NP_391586.1,0.464250487
NADH_NADPH,BS,938071,NP_390866.1,-0.268218611
NADH_NADPH,BS,939832,NP_389111.1,0.602918777
NADH_NADPH,BS,936142,NP_391234.1,-0.046512793
NADH_NADPH,BS,939734,NP_388783.1,0.227744756
NADH_NADPH,BS,937164,NP_391015.1,-0.020081305
NADH_NADPH,BS,938844,NP_391014.1,0.05975898
NADH_NADPH,BS,938695,NP_390267.2,-0.135671684
NADH_NADPH,BS,937378,NP_390800.1,-0.521961779
NADH_NADPH,BS,939296,NP_389258.1,-1.072716029
NADH_NADPH,BS,938714,NP_390243.1,-0.632675673
NADH_NADPH,BS,938698,NP_390263.1,0.91219281
NADH_NADPH,BS,938989,NP_390164.1,0.147570802
NADH_NADPH,BS,938267,NP_388268.1,1.057928996
RNA_polymerase,BS,938921,NP_388024.1,0.635671449
RNA_polymerase,BS,936335,NP_387988.2,0.045780765
RNA_polymerase,BS,935977,NP_387989.2,0.035470753
RNA_polymerase,BS,937046,NP_391597.1,-0.066535881
RNA_polymerase,BS,936267,NP_388833.1,-0.231701682
RNA_polymerase,BS,937400,NP_391749.1,-0.405919281
RNA_polymerase,BS,937591,NP_390590.1,-0.264659914
RNA_polymerase,BS,937617,NP_390561.1,-0.056980031
RNA_polymerase,BS,938966,NP_390191.2,0.178482131
RNA_polymerase,BS,938868,NP_388054.1,0.84186141
RNA_polymerase,BS,935973,NP_389356.1,-0.0215284
RNA_polymerase,BS,936851,NP_387982.1,-0.440896026
RNA_polymerase,BS,937897,NP_390399.2,0.116966357
RNA_polymerase,BS,939363,NP_389228.1,-0.814164324
RNA_polymerase,BS,938482,NP_389529.1,0.489554991
RNA_polymerase,BS,936150,NP_387979.1,0.145944867
RNA_polymerase,BS,939937,NP_388354.2,-0.055848114
RNA_polymerase,BS,936362,NP_391300.1,-0.140628928
RNA_polymerase,BS,938729,NP_390226.1,-0.528350312
RNA_polymerase,BS,939953,NP_389416.1,0.303125347
RNA_polymerase,BS,939683,NP_389415.2,-0.083972026